"id","sequence","code","name","document_letter_id/id","report_name","internal_type","doc_code_prefix","localization","validator_id/id"
"l10n_ar_account.dc_a_t","560","81","TIQUE - FACTURA A","l10n_ar_account.dl_a","TIQ","Invoices","TQ A ","Argentina",""
"l10n_ar_account.dc_b_t","570","82","TIQUE - FACTURA B","l10n_ar_account.dl_b","TIQ","Invoices","TQ B ","Argentina",""
"l10n_ar_account.dc_t","580","83","TIQUE","l10n_ar_account.dl_x","TIQ","Invoices","TIQUE ","Argentina",""
"l10n_ar_account.dc_sp_c","590","84","COMPROBANTE   FACTURA DE SERVICIOS PUBLICOS   INTERESES FINANCIEROS","","","","","Argentina",""
"l10n_ar_account.dc_sp_nc","600","85","NOTA DE CREDITO   SERVICIOS PUBLICOS   NOTA DE CREDITO CONTROLADORES FISCALES","","","","","Argentina",""
"l10n_ar_account.dc_sp_nd","610","86","NOTA DE DEBITO   SERVICIOS PUBLICOS","","","","","Argentina",""
"l10n_ar_account.dc_oc_se","620","87","OTROS COMPROBANTES - SERVICIOS DEL EXTERIOR","","","","","Argentina",""
"l10n_ar_account.dc_oc_c","630","88","OTROS COMPROBANTES - DOCUMENTOS EXCEPTUADOS / REMITO ELECTRONICO,","","","","","Argentina",""
"l10n_ar_account.dc_oc_nd","640","89","OTROS COMPROBANTES - DOCUMENTOS EXCEPTUADOS - NOTAS DE DEBITO / RESUMEN DE DATOS","","","","","Argentina",""
"l10n_ar_account.dc_oc_nc","650","90","OTROS COMPROBANTES - DOCUMENTOS EXCEPTUADOS - NOTAS DE CREDITO","","","","","Argentina",""
"l10n_ar_account.dc_r_r","660","91","REMITOS R","","","","","Argentina",""
"l10n_ar_account.dc_ac_inc_df","670","92","AJUSTES CONTABLES QUE INCREMENTAN EL DEBITO FISCAL","","","","","Argentina",""
"l10n_ar_account.dc_ac_dis_df","680","93","AJUSTES CONTABLES QUE DISMINUYEN EL DEBITO FISCAL","","","","","Argentina",""
"l10n_ar_account.dc_ac_inc_cf","690","94","AJUSTES CONTABLES QUE INCREMENTAN EL CREDITO FISCAL","","","","","Argentina",""
"l10n_ar_account.dc_ac_dis_cf","700","95","AJUSTES CONTABLES QUE DISMINUYEN EL CREDITO FISCAL","","","","","Argentina",""
"l10n_ar_account.dc_f1116b","710","96","FORMULARIO 1116 B","","","","","Argentina",""
"l10n_ar_account.dc_f1116c","720","97","FORMULARIO 1116 C","","","","","Argentina",""
"l10n_ar_account.dc_oc_ncrg3419","730","99","OTROS COMP  QUE NO CUMPLEN CON LA R G  3419 Y SUS MODIF","","","In Document","","Argentina",""
"l10n_ar_account.dc_aa_dj_pos","740","101","AJUSTE ANUAL PROVENIENTE DE LA  D J  DEL IVA  POSITIVO","","","","","Argentina",""
"l10n_ar_account.dc_aa_dj_neg","750","102","AJUSTE ANUAL PROVENIENTE DE LA  D J  DEL IVA  NEGATIVO","","","","","Argentina",""
"l10n_ar_account.dc_na","760","103","NOTA DE ASIGNACION","","","","","Argentina",""
"l10n_ar_account.dc_nca","770","104","NOTA DE CREDITO DE ASIGNACION","","","","","Argentina",""
"l10n_ar_account.dc_nc_a_t","780","112","TIQUE NOTA DE CREDITO A","l10n_ar_account.dl_a","NC","Credit Notes","TNC A ","",""
"l10n_ar_account.dc_nc_b_t","790","113","TIQUE NOTA DE CREDITO B","l10n_ar_account.dl_b","NC","Credit Notes","TNC B ","",""
"l10n_ar_account.dc_nc_c_t","800","114","TIQUE NOTA DE CREDITO C","l10n_ar_account.dl_c","NC","Credit Notes","TNC C ","",""
"l10n_ar_account.dc_nd_a_t","810","115","TIQUE NOTA DE DEBITO A","l10n_ar_account.dl_a","ND","Debit Notes","TND A ","",""
"l10n_ar_account.dc_nd_b_t","820","116","TIQUE NOTA DE DEBITO B","l10n_ar_account.dl_b","ND","Debit Notes","TND B ","",""
"l10n_ar_account.dc_nd_c_t","830","117","TIQUE NOTA DE DEBITO C","l10n_ar_account.dl_c","ND","Debit Notes","TND C ","",""
"l10n_ar_account.dc_m_t","840","118","TIQUE FACTURA M","l10n_ar_account.dl_m","TIQ","Invoices","TQ M ","",""
"l10n_ar_account.dc_nc_m_t","850","119","TIQUE NOTA DE CREDITO M","l10n_ar_account.dl_m","NC","Credit Notes","TNC M ","",""
"l10n_ar_account.dc_nd_m_t","860","120","TIQUE NOTA DE DEBITO M","l10n_ar_account.dl_m","ND","Debit Notes","TND M ","",""
"l10n_ar_account.dc_recibo_x","870","","RECIBOS X","l10n_ar_account.dl_x","REC","Inbound Payment Voucer","RE X ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_remito_x","880","","REMITOS X","l10n_ar_account.dl_x","REM","","RM X ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_orden_pago_x","900","","PAGOS X","l10n_ar_account.dl_x","OP","Outbound Payment Voucer","OP X ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_a_fce","990","201","FACTURAS CREDITO ELECTRONICA MyPyMEs FCE A","l10n_ar_account.dl_a","FC","Invoices","FCE A ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_a_ndfce","991","202","NOTA DEBITO ELECTRONICA MyPyMEs FCE A","l10n_ar_account.dl_a","ND","Debit Notes","NDC A ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_a_ncfce","992","203","NOTA CREDITO ELECTRONICA MyPyMEs FCE A","l10n_ar_account.dl_a","NC","Credit Notes","NCC A ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_b_fce","993","206","FACTURAS CREDITO ELECTRONICA MyPyMEs FCE B","l10n_ar_account.dl_b","FC","Invoices","FCE B ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_b_ndfce","994","207","NOTA DEBITO ELECTRONICA MyPyMEs FCE B","l10n_ar_account.dl_b","ND","Debit Notes","NDC B ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_b_ncfce","995","208","NOTA CREDITO ELECTRONICA MyPyMEs FCE B","l10n_ar_account.dl_b","NC","Credit Notes","NCC B ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_c_fce","996","211","FACTURAS CREDITO ELECTRONICA MyPyMEs FCE C","l10n_ar_account.dl_c","FC","Invoices","FCE C ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_c_ndfce","997","212","NOTA DEBITO ELECTRONICA MyPyMEs FCE C","l10n_ar_account.dl_c","ND","Debit Notes","NDC C ","Argentina","l10n_ar_account.validator_numero_factura"
"l10n_ar_account.dc_c_ncfce","998","213","NOTA CREDITO ELECTRONICA MyPyMEs FCE C","l10n_ar_account.dl_c","NC","Credit Notes","NCC C  ","Argentina","l10n_ar_account.validator_numero_factura"
